stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10231,0813,Olabeaga Avda. Montevideo,,43.2647,-2.96124,1,,0,
10232,1038,Ibarrekolanda,,43.2733,-2.95355,1,,0,
10233,4082,Zubiete Txelus,,43.1863,-3.0579,3,,0,
10234,4687,Blankone,,43.3406,-2.80918,3,,0,
10235,4967,Udaletxea / Ayuntamiento,,43.3281,-3.03319,2,,0,
10236,3758,Olabarri,,43.1031,-2.75103,4,,0,
10237,5079,Eliza / Iglesia,,43.3804,-2.98376,3,,0,
10238,4925,Causo,,43.3,-3.0265,2,,0,
10239,3140,Sanfuentes 73,,43.3263,-3.07389,3,,0,
10240,3257,Gastaka,,43.1587,-2.93284,3,,0,
10241,0626,Zabalburu Autonomía 4,,43.2574,-2.93514,1,,0,
10242,4473,Estaziñoa,,43.2071,-2.7761,3,,0,
10243,3457,Irabien Vital Kutxa,,43.1552,-3.02673,4,,0,
10244,4553,Plazakola,,43.2971,-2.47603,5,,0,
10245,4248,La Cuadra,,43.2232,-3.02477,3,,0,
10246,5154,Ugalde,,43.111,-2.5912,5,,0,
10247,1023,Egirletagoikoa Gasolindegia / Gasolinera,,43.2739,-2.90349,1,,0,
10248,5014,Etxaba,,43.3075,-3.04654,2,,0,
10249,3547,Kareaga Goikoa 26 Burritos,,43.2377,-2.89434,2,,0,
10250,9003,Oruezabaleta,,43.1754,-2.60677,4,,0,
10251,4011,Garellano,,43.3376,-2.80482,3,,0,
10252,3751,Barazar,,43.0658,-2.71146,4,,0,
10253,4203,Gorbeia Mendia,,43.3294,-3.00636,2,,0,
10254,4529,Apoita,,43.2069,-2.55233,5,,0,
10255,4606,Torre De Ugao 3,,43.1816,-2.90225,3,,0,
10256,5340,San Ignazio 8 - 10,,43.3031,-2.97453,2,,0,
10257,9005,Megapark,,43.2937,-3.0042,2,,0,
10258,3772,Zubibarria,,43.1468,-2.843,3,,0,
10259,0224,Ernesto Erkoreka Plaza Udaletxea / Ayuntamiento,,43.2641,-2.92259,1,,0,
10260,4778,Iturrizar,,43.3231,-3.12299,3,,0,
10261,4793,Ospital Kalea,,43.0401,-2.65279,5,,0,
10262,4115,Orabille,,43.4171,-2.91728,3,,0,
10263,4039,Urondo,,43.3742,-2.88954,3,,0,
10264,3362,Bide - Onera Los Fueros,,43.2954,-2.98791,2,,0,
10265,4697,La Bilbaina Auzo - Etxea / Centro Cívico,,43.3266,-2.85057,3,,0,
10266,5374,Altzaga Ikastola,,43.2986,-2.97162,2,,0,
10267,4042,Igartua,,43.377,-2.88505,3,,0,
10268,5021,Bañales,,43.313,-3.06441,2,,0,
10269,5173,Elexalde,,43.1628,-2.77902,3,,0,
10270,5455,Teknologia - Parkea Arteaga,,43.2854,-2.85807,2,,0,
10271,4536,Iruzubieta,,43.253,-2.52707,5,,0,
10272,3498,Ureta Ponto,,43.2706,-2.99586,2,,0,
10273,3500,El Regato / Errekatxo Eliza / Iglesia,,43.2635,-3.01495,2,,0,
10274,4349,Sarrikola,,43.2547,-2.79836,3,,0,
10275,3366,Retuerto Av. Euskadi,,43.2845,-2.99491,2,,0,
10276,3649,Eitua Industrialdea Pastor Gorbea,,43.1673,-2.59271,5,,0,
10277,5338,Altzaga - Erandiogoikoa Arriaga,,43.3035,-2.96688,2,,0,
10278,3536,San Telmo,,43.4037,-2.95401,3,,0,
10279,3587,Lamera,,43.4189,-2.72246,4,,0,
10280,3563,Agirre Lehendakaria 73 Ariz Dorretxea,,43.2361,-2.88134,2,,0,
10281,5121,Mendi Ondo Eskolak / Escuelas,,43.3676,-2.93848,3,,0,
10282,1008,Zunzunegi,,43.262,-2.949,1,,0,
10283,3866,La Avenida,,43.2485,-2.88547,2,,0,
